iter	RMSE
541	23526.70296
542	23514.0608
543	23499.46752
544	23488.72818
545	23466.37619
546	23453.50278
547	23437.69458
548	23420.20341
549	23394.22832
550	23389.29268
551	23373.72005
552	23352.6897
553	23333.76834
554	23311.6181
555	23297.37385
556	23296.7762
557	23275.42435
558	23266.64732
559	23254.47404
560	23243.53988
561	23224.508
562	23205.47916
563	23186.31964
564	23172.51442
565	23164.62105
566	23152.52388
567	23135.16122
568	23125.836
569	23106.99366
570	23098.15342
571	23068.7061
572	23057.80804
573	23037.46268
574	23027.43778
575	23019.81155
576	22996.8884
577	22983.14497
578	22970.10115
579	22961.37746
580	22950.21252
581	22934.40269
582	22923.6345
583	22909.24606
584	22901.15805
585	22900.54896
586	22891.93753
587	22870.06417
588	22853.93754
589	22838.87487
590	22831.95487
591	22818.37054
592	22811.7778
593	22795.72591
594	22786.6617
595	22768.16999
596	22751.17005
597	22738.69659
598	22724.9427
599	22709.99021
600	22683.88488
601	22675.39113
602	22664.53173
603	22654.093
604	22639.61173
605	22628.26569
606	22616.87874
607	22600.40586
608	22589.57658
609	22589.05748
610	22569.91345
611	22553.92638
612	22543.03847
613	22535.63772
614	22510.1029
615	22502.07513
616	22488.24554
617	22468.87051
618	22449.62307
619	22432.66905
620	22419.08575
621	22403.11464
622	22382.89532
623	22371.95829
624	22350.72474
625	22343.07153
626	22330.97626
627	22328.20974
628	22304.03508
629	22285.18216
630	22277.89755
631	22268.04264
632	22253.00334
633	22250.04493
634	22241.94453
635	22234.64557
636	22231.02385
637	22213.46177
638	22208.3207
639	22196.55371
640	22189.40728
641	22167.64402
642	22146.69069
643	22126.05178
644	22111.4232
645	22095.54157
646	22082.14361
647	22074.04409
648	22059.85962
649	22055.05447
650	22044.0431
651	22024.29348
652	22013.34199
653	21991.1428
654	21979.29176
655	21961.76082
656	21947.32103
657	21935.60278
658	21917.62133
659	21895.38803
660	21880.55891
661	21866.95195
662	21861.37172
663	21850.48077
664	21828.24543
665	21807.86581
666	21796.77186
667	21777.72815
668	21764.64537
669	21758.58031
670	21752.04102
671	21743.64354
672	21731.19401
673	21724.96546
674	21706.76896
675	21699.33138
676	21689.48768
677	21671.86078
678	21650.88091
679	21625.5455
680	21610.09928
681	21595.6775
682	21586.02167
683	21567.69152
684	21553.33613
685	21537.63714
686	21529.5578
687	21511.75465
688	21493.54312
689	21481.37864
690	21480.6744
691	21467.43198
692	21458.99384
693	21448.0067
694	21426.71661
695	21413.79138
696	21397.30544
697	21384.63493
698	21378.35623
699	21364.87123
700	21355.37217
701	21345.32499
702	21325.8718
703	21307.6848
704	21301.89541
705	21283.24277
706	21264.9174
707	21244.40722
708	21234.77801
709	21223.62053
710	21213.06761
711	21198.21666
712	21188.43056
713	21180.39249
714	21165.87339
715	21146.59951
716	21133.68866
717	21120.13013
718	21107.52991
719	21091.75179
720	21079.14453
721	21068.52771
722	21055.21698
723	21035.92267
724	21023.72985
725	21009.69076
726	20995.93157
727	20980.27673
728	20966.48106
729	20957.72582
730	20945.11426
731	20944.15552
732	20932.19809
733	20920.6462
734	20907.44465
735	20895.57543
736	20889.27588
737	20880.03995
738	20867.48598
739	20858.50511
740	20858.15771
741	20840.79729
742	20830.51767
743	20826.39033
744	20813.40415
745	20794.55565
746	20780.66593
747	20763.13553
748	20754.75319
749	20738.08312
750	20721.77641
751	20701.54517
752	20686.00486
753	20679.14835
754	20662.45427
755	20658.62009
756	20649.15932
757	20636.40286
758	20617.45538
759	20604.45552
760	20595.86234
761	20584.23266
762	20572.68123
763	20566.62554
764	20555.72882
765	20543.39254
766	20528.03563
767	20513.99398
768	20498.19876
769	20490.47071
770	20483.60288
771	20464.00541
772	20451.42016
773	20438.09836
774	20428.71033
775	20418.26721
776	20407.95408
777	20393.42075
778	20380.63605
779	20370.26959
780	20358.06284
781	20349.62077
782	20323.58835
783	20310.77642
784	20301.62786
785	20294.06776
786	20293.30813
787	20279.94559
788	20266.8577
789	20253.20937
790	20238.37377
791	20223.04796
792	20210.48043
793	20199.99871
794	20188.25848
795	20176.55968
796	20166.47956
797	20150.35227
798	20136.16757
799	20127.39191
800	20116.24026
801	20104.76902
802	20094.45487
803	20093.74613
804	20079.49156
805	20069.41042
806	20062.164
807	20055.04963
808	20050.08851
809	20035.79213
810	20023.06944
811	20007.00778
812	19992.24525
813	19983.9507
814	19977.84409
815	19961.44965
816	19946.16747
817	19939.67969
818	19930.14428
819	19917.48236
820	19905.73356
821	19896.05613
822	19876.09492
823	19875.74134
824	19858.98655
825	19847.68845
826	19839.86024
827	19816.26292
828	19814.02889
829	19810.5121
830	19794.29896
831	19786.81474
832	19775.20918
833	19763.13476
834	19749.75368
835	19745.13535
836	19738.00526
837	19723.77214
838	19710.44717
839	19691.47794
840	19680.93241
841	19680.6497
842	19670.07825
843	19662.44466
844	19651.18602
845	19640.65107
846	19616.00011
847	19605.74891
848	19594.94002
849	19583.3225
850	19566.66854
851	19555.52397
852	19554.51759
853	19545.62627
854	19529.91093
855	19519.27013
856	19511.75116
857	19503.09504
858	19489.58406
859	19484.14553
860	19473.73446
861	19463.22633
862	19452.43731
863	19434.82369
864	19424.21116
865	19416.54679
866	19403.02508
867	19390.43509
868	19377.33385
869	19368.00193
870	19356.50125
871	19346.81955
872	19338.84321
873	19332.26279
874	19330.16091
875	19311.20614
876	19295.88485
877	19277.76221
878	19264.5311
879	19255.69093
880	19252.84316
881	19238.89173
882	19222.89925
883	19212.13769
884	19199.41146
885	19195.15082
886	19183.21454
887	19174.99637
888	19167.42143
889	19157.81461
890	19146.58258
891	19132.14106
892	19119.80169
893	19109.91593
894	19097.09885
895	19090.77039
896	19075.81684
897	19068.10482
898	19056.89489
899	19041.48323
900	19035.46594
901	19024.90663
902	19012.54713
903	18998.29607
904	18992.99455
905	18982.15422
906	18961.21741
907	18946.41766
908	18935.75132
909	18922.27619
910	18912.41259
911	18903.56131
912	18892.32658
913	18886.74355
914	18883.18223
915	18870.93554
916	18859.54129
917	18847.23029
918	18831.40753
919	18820.65594
920	18811.48286
921	18794.84995
922	18783.09266
923	18770.87425
924	18754.47243
925	18747.11917
926	18740.18284
927	18734.42369
928	18726.11135
929	18714.48136
930	18702.4217
931	18691.17883
932	18679.08538
933	18661.98611
934	18651.02281
935	18641.45618
936	18631.24753
937	18623.35335
938	18608.40556
939	18607.70688
940	18594.26782
941	18583.09722
942	18571.79006
943	18560.72863
944	18549.77906
945	18542.17396
946	18540.66325
947	18522.24061
948	18515.70991
949	18506.26443
950	18497.29761
951	18496.84938
952	18489.1914
953	18481.56424
954	18470.36917
955	18454.28431
956	18445.3741
957	18436.25843
958	18427.39946
959	18417.80198
960	18403.45558
961	18397.20724
962	18388.56387
963	18374.76521
964	18360.4951
965	18345.47252
966	18336.8689
967	18325.723
968	18313.90287
969	18303.30057
970	18293.43524
971	18279.88799
972	18270.84437
973	18266.80114
974	18257.51168
975	18245.86966
976	18240.23211
977	18229.70197
978	18220.63901
979	18215.35517
980	18202.91731
981	18192.15144
982	18184.18276
983	18172.70086
984	18164.86484
985	18159.84587
986	18152.14337
987	18141.21665
988	18131.86197
989	18122.79788
990	18107.35723
991	18096.8745
992	18083.21541
993	18066.2132
994	18049.41979
995	18042.2406
996	18034.25701
997	18028.22704
998	18015.8301
999	17996.42322
